,valence,energy,tempo,acousticness,loudness,id
292,0.536,0.446,136.39,0.846,-9.116,4ipf9QZzaMlGMHs9pFvjFA
293,0.305,0.375,143.053,0.56,-9.076,0q2kA4n14stJY58bzQLWxf
294,0.898,0.701,71.785,0.52,-8.016,2OFLNihLjoH4pubiYMf4xu
295,0.501,0.245,99.837,0.908,-18.043,1tVkVu8AuDAFMI3rkUPdAp
296,0.849,0.54,123.475,0.479,-11.806,6dcZiujlB3HkKk1c4AoRE2
297,0.765,0.422,89.917,0.692,-11.474,4zPwfUr5c9PGlpd8d8bmoG
298,0.36,0.338,102.387,0.61,-12.743,1NwRIXCUGkytGehnEqe86u
299,0.537,0.413,102.703,0.262,-14.599,5esOnYdx2E2YaXmoFuEmax
300,0.851,0.712,139.778,0.0968,-7.574,4uZIiPaccjwx9pL5ZX6Py8
301,0.455,0.436,181.006,0.241,-3.495,2LYAgzcmX66AgxvF829Lss
302,0.846,0.64,139.658,0.779,-9.008,28P0xCA57o7ZGg5o8u0tnt
303,0.612,0.759,94.409,0.245,-7.01,2rIbSSFvnCpnLXay9RmCkl
304,0.938,0.776,102.155,0.584,-7.734,36KON6U3VemwLFa64zD0xu
305,0.797,0.393,107.411,0.81,-9.035,5aYfKM8zXY24TmY3SXfcBO
306,0.834,0.649,131.133,0.694,-9.534,4u3hbJHvz3ROzMi7gLm7x0
307,0.973,0.782,155.856,0.144,-9.504,4lmFp7Hfc0KO5IH8KaQWIO
